delta,theta,alpha,beta,gamma,EEGI2,heart rat2,PEI2,AI2,NA2,ELI2,BP2,CNSA2,LFHFR2,DS2,SYN2,VI2,ARI2,AGR2,Label
119.0150195,1.588932721,2.168712612,4.436185675,3.535269215,0.732661724,2.045538746,2.791927951,74.90249139,0.018222176,0.358175432,0.488868765,1.180575941,55.6108502,1.364886369,18.25977433,0.732661724,0.847044197,0.613450484,0
4.701280125,1.399142438,2.24029961,4.288972867,3.380916964,0.624533626,1.914463962,3.065429759,3.360115451,0.4765297,0.326218533,0.522339422,1.178469889,2.723038712,1.601194809,0.934318882,0.624533626,0.848557956,0.66263077,0
4.544472288,2.256053084,4.308796483,4.9699096,3.417081295,0.523592398,1.153433359,2.202922278,2.014346347,0.948140116,0.453942479,0.866976833,0.757048512,1.578288833,1.909882579,0.732917425,0.523592398,1.320919312,1.260958143,0
4.901189117,2.151098296,3.536682905,5.151687565,3.370231592,0.608224812,1.456643896,2.394910346,2.278458928,0.721596906,0.417552165,0.686509588,0.905746438,1.994040066,1.644128914,0.811692761,0.608224812,1.104061752,1.049388687,0
48.53478863,4.014083861,4.89671197,9.264122742,8.97030639,0.819750863,1.891906814,2.307904633,12.09112473,0.100890765,0.433293467,0.52856726,1.039651555,10.73146079,1.219882827,3.710859816,0.819750863,0.961860727,0.545880125,0
38.8248804,2.373038103,2.959218437,5.412240927,4.996985313,0.801913801,1.82894269,2.280722303,16.36083312,0.076219641,0.438457588,0.546763989,1.015000101,13.92189167,1.247016823,4.921234962,0.801913801,0.985221577,0.592200747,0
30.43605462,1.855018812,2.452033829,3.93615666,3.380452373,0.75652252,1.605261972,2.121895818,16.40741022,0.080563459,0.471276672,0.62295128,0.91388636,13.16909785,1.321837716,5.054807536,0.75652252,1.094227952,0.725356715,0
30.56003391,2.948310008,3.671121442,8.638136506,8.16197343,0.80310882,2.352996664,2.929860321,10.36527157,0.120128186,0.341313199,0.424989978,1.304966532,9.127549836,1.245161273,2.722206656,0.80310882,0.766303177,0.449783557,0
39.79307877,3.820684128,4.980748262,13.11617882,12.7423415,0.76709039,2.633375174,3.432939857,10.41517106,0.125166195,0.29129552,0.379740802,1.490232299,8.756468023,1.303627334,2.410009317,0.76709039,0.671036322,0.390881712,0
9.005383662,1.38663067,2.217159424,4.25945015,3.537244274,0.625408645,1.921129398,3.071798598,6.494435652,0.246203772,0.325542176,0.520527145,1.18193625,4.687084844,1.598954553,1.604545436,0.625408645,0.846069321,0.626804159,1
4.446167485,1.648028529,3.116172879,4.800454295,3.295398114,0.528862997,1.540496783,2.912846599,2.697870461,0.700867183,0.343306785,0.649141245,1.007609436,1.955666855,1.890848869,0.769797021,0.528862997,0.99244803,0.94561348,1
4.515535496,2.668450782,4.061835929,4.972233847,3.557658743,0.656956812,1.224134587,1.863341036,1.69219366,0.899524748,0.536670411,0.81690364,0.738784848,1.768654964,1.522170075,0.795210404,0.656956812,1.353574051,1.141716005,1
121.6715438,1.617309515,2.161171401,3.658545455,3.333860129,0.748348564,1.692852984,2.262118303,75.23083409,0.017762341,0.442063529,0.590718751,0.968258286,57.04723523,1.336275698,21.18468241,0.748348564,1.03278228,0.648248972,0
4.163274983,1.464306826,2.079727485,3.030715885,2.796483585,0.704085914,1.457265871,2.069727348,2.843171191,0.499541225,0.483155427,0.686216578,0.85515986,2.705922699,1.420281219,1.10119248,0.704085914,1.169372005,0.743693793,0
8.608707119,2.086737016,2.501520848,2.838104974,2.138536742,0.834187338,1.134551798,1.360068352,4.125439407,0.290580317,0.735257165,0.881405329,0.618558298,4.275576654,1.198771493,2.003032514,0.834187338,1.616662493,1.1697348,0
5.479043035,1.840834955,2.268380929,2.429865095,1.817411548,0.811519323,1.071189175,1.319979875,2.976390153,0.414010424,0.757587308,0.933541921,0.591320866,3.226917444,1.232256549,1.558002274,0.811519323,1.691129229,1.248138283,0
45.57186116,2.925377649,2.719747751,3.79085558,3.43745039,1.075606239,1.393826166,1.295851693,15.57811217,0.059680419,0.771693246,0.717449582,0.671527258,17.83152088,0.929708256,7.448962306,1.075606239,1.489142828,0.791210765,0
59.02230572,2.336020301,2.25341527,2.741199219,2.08684713,1.036657705,1.216464296,1.173448372,25.26617842,0.038179045,0.852189175,0.822054543,0.597284606,27.22903623,0.964638564,12.28489729,1.036657705,1.674243718,1.079818084,0
24.22369693,3.116393676,2.173398164,2.377918813,1.770465253,1.433880698,1.094101786,0.763035438,7.772990016,0.089721985,1.31055512,0.913991745,0.449529752,12.57942104,0.697408091,6.007072402,1.433880698,2.224546865,1.22758589,0
29.22769215,4.261236943,2.503477797,2.805618071,2.245153304,1.702126916,1.120688218,0.658404615,6.858969014,0.08565431,1.518822889,0.892308837,0.414742998,13.37696269,0.587500257,6.307840342,1.702126916,2.411131725,1.115058732,0
31.74299897,2.756060916,2.101841083,2.072057334,1.580201603,1.31126037,0.985829686,0.75181841,11.51752444,0.06621432,1.330108424,1.014373998,0.426533375,16.41373373,0.762625046,8.265428727,1.31126037,2.344482422,1.330109449,0
13.55777396,1.407595395,1.90794514,3.59005632,3.085560295,0.737754648,1.881634982,2.550488822,9.631868655,0.140727021,0.392081703,0.531452704,1.082796691,7.843710512,1.355464182,2.721965329,0.737754648,0.923534407,0.618346413,1
8.094064091,1.804937938,2.21885593,3.239945485,2.57608619,0.813454319,1.460187406,1.795045368,4.484400222,0.274133724,0.557088984,0.6848436,0.805196685,4.461309045,1.229325332,1.813402115,0.813454319,1.241932584,0.861328297,1
5.527993622,1.815922321,2.229576586,2.865902064,2.060129824,0.814469587,1.285401938,1.578207411,3.044179566,0.403324739,0.633630278,0.777966775,0.708417461,3.29386126,1.227792929,1.441261253,0.814469587,1.411597052,1.082250526,1
19.09561222,3.70711361,3.679982349,6.430244341,4.742832815,1.00737266,1.747357387,1.734568998,5.151072838,0.192713504,0.576512091,0.572292771,0.870469854,6.19642261,0.992681298,2.255411924,1.00737266,1.148804861,0.775903873,0
33.87260559,5.329587696,4.394676354,5.561878359,4.391806029,1.212737246,1.265594531,1.043585109,6.355577114,0.129741314,0.958235213,0.790142479,0.571958796,8.920382329,0.824580925,3.937325151,1.212737246,1.748377692,1.000653564,0
29.43581699,3.580785123,5.616066541,6.762811706,4.549816447,0.637596634,1.204190096,1.888639355,8.220492428,0.190790238,0.529481712,0.830433669,0.73533987,5.878954936,1.56838971,2.667172377,0.637596634,1.359915382,1.234350134,0
62.48552056,8.065120865,7.093655483,6.975529704,4.76822533,1.136948486,0.983347686,0.864900827,7.747623577,0.113524788,1.156201924,1.01693431,0.460164432,9.945597385,0.879547325,5.014550629,1.136948486,2.173136234,1.487693008,0
73.37802833,9.637463906,4.602222091,8.783845165,7.235587826,2.094089271,1.908609578,0.911427036,7.613831714,0.062719348,1.097180531,0.523941623,0.616856661,18.03813258,0.477534561,6.201634181,2.094089271,1.621122154,0.636053656,0
251.3343491,17.31458332,7.733118452,10.57627615,8.15381787,2.239016955,1.367659919,0.610830532,14.51576075,0.030768251,1.637115283,0.731175921,0.422245372,34.74005139,0.446624577,14.67273704,2.239016955,2.368291204,0.948404609,0
67.84878247,9.002412094,6.554871552,7.385071761,4.991598277,1.373392602,1.126653925,0.820343668,7.536733685,0.09661001,1.219001302,0.887584003,0.474701878,11.72428688,0.728123917,5.513020594,1.373392602,2.106585305,1.313180907,0
27.5524961,4.063602198,3.760971782,5.628813411,3.667160417,1.080466016,1.496638033,1.385178257,6.780313316,0.136502035,0.721928744,0.668164231,0.719376343,8.406364134,0.925526564,3.367073649,1.080466016,1.390092975,1.025581473,0
32.71205334,6.613177053,4.010259672,5.073362507,3.796861619,1.649064548,1.26509576,0.767159637,4.946495924,0.122592722,1.303509663,0.790453997,0.477563207,9.806155613,0.606404401,4.329245495,1.649064548,2.09396366,1.056203801,0
19.89765134,3.558465931,3.84744836,6.138783942,4.716132523,0.924889849,1.595546806,1.725120898,5.591637444,0.193361935,0.579669518,0.626744384,0.828902915,6.096538557,1.081209834,2.348845547,0.924889849,1.206413902,0.81580582,1
37.01037458,4.65973489,5.012569686,5.888119023,4.391524339,0.929609997,1.174670756,1.263616743,7.942592325,0.135436881,0.791379195,0.851302371,0.608760712,8.313123224,1.075719929,3.822704288,0.929609997,1.642681566,1.141419083,1
26.89166077,4.193370618,5.497485702,6.600853207,4.563330807,0.762779722,1.200704024,1.574116339,6.412898649,0.204430874,0.63527706,0.832844714,0.681142408,5.654408775,1.310994473,2.569363582,0.762779722,1.468121774,1.204709002,1
79.0672,1.8474,1.6017,1.3396,1.0444,1.1534,0.8363,0.7251,42.7982,0.0203,1.3791,1.1957,0.3884,50.5165,0.867,27.5096,1.1534,2.5748,1.5337,0
15.5168,1.5906,1.5624,1.5438,1.1201,1.0181,0.9881,0.9706,9.7554,0.1007,1.0303,1.012,0.4896,10.9497,0.9823,5.5076,1.0181,2.0424,1.3948,0
21.0108,2.494,2.1521,1.4328,1.0279,1.1589,0.6658,0.5745,8.4245,0.1024,1.7406,1.502,0.3084,10.9218,0.8629,6.5565,1.1589,3.2426,2.0937,0
33.7739,3.172,2.4031,2.0979,1.409,1.32,0.873,0.6614,10.6473,0.0712,1.512,1.1454,0.3763,15.3746,0.7576,8.2084,1.32,2.6574,1.7055,0
54.9467,2.763,2.0679,1.7904,1.2917,1.3362,0.8658,0.648,19.8866,0.0376,1.5432,1.155,0.3706,27.9077,0.7484,14.9572,1.3362,2.6982,1.6009,0
226.3374,12.1388,9.7155,5.5968,3.9761,1.2494,0.5761,0.4611,18.6458,0.0429,2.1689,1.7359,0.2561,24.5459,0.8004,15.5741,1.2494,3.9048,2.4435,0
187.1473,7.1265,5.4889,6.2136,5.1884,1.2984,1.132,0.8719,26.2606,0.0293,1.1469,0.8834,0.4925,35.3939,0.7702,16.601,1.2984,2.0303,1.0579,0
135.4784,9.7083,6.0001,5.9656,5.8033,1.618,0.9943,0.6145,13.9549,0.0443,1.6274,1.0058,0.3798,24.1973,0.618,12.1335,1.618,2.6332,1.0339,0
67.3728,5.4914,3.5495,3.7825,2.912,1.5471,1.0657,0.6888,12.2689,0.0527,1.4518,0.9384,0.4184,20.528,0.6464,9.9378,1.5471,2.3902,1.2189,0
18.344,1.5391,1.5054,1.3673,1.0098,1.0224,0.9082,0.8883,11.9185,0.0821,1.1257,1.101,0.4491,13.2079,0.9781,6.9215,1.0224,2.2267,1.4908,1
17.4907,2.8669,2.0814,1.6173,1.131,1.3774,0.777,0.5641,6.1008,0.119,1.7727,1.287,0.3268,9.7805,0.726,5.5039,1.3774,3.0596,1.8403,1
21.0073,1.7863,1.8758,1.4137,0.8629,0.9523,0.7536,0.7914,11.7599,0.0893,1.2636,1.3269,0.386,12.1515,1.0501,6.9293,0.9523,2.5905,2.1738,1
107.5879319,2.582475089,2.184780731,1.950342009,1.097544868,1.182029415,0.892694622,0.755222003,41.66078208,0.020306931,1.324113964,1.120203903,0.409112094,50.42629929,0.846002635,26.64259659,1.182029415,2.444317867,1.990607213,0
8.980543104,1.632912454,1.927739529,1.58879739,1.037842829,0.847060731,0.824176382,0.972983815,5.499708868,0.214657344,1.027766325,1.213332512,0.446209682,5.505648144,1.180552897,3.01815559,0.847060731,2.241098837,1.857448426,0
13.9694791,1.682838063,2.74152753,1.829767445,1.183120575,0.613832269,0.667426252,1.087310469,8.301142818,0.196251235,0.919700516,1.498292878,0.41356606,5.709341596,1.629109532,3.424044445,0.613832269,2.417993394,2.317200452,0
10.32879311,1.677463932,2.386297737,1.711405817,1.176809607,0.702956679,0.717180338,1.020234048,6.157386109,0.23103355,0.980167249,1.394349436,0.421138334,5.031332369,1.42256277,2.929996494,0.702956679,2.374516686,2.027768743,0
10.94009511,1.698014079,1.509112078,1.645261772,1.249251324,1.125174269,1.090218411,0.968932939,6.442876561,0.137943232,1.032063169,0.917247397,0.513001888,8.374533192,0.888751216,4.006534985,1.125174269,1.949310566,1.208013191,0
23.37001484,1.955660302,1.521609535,1.495865266,0.903085382,1.285257654,0.983080897,0.764890132,11.94993569,0.065109481,1.307377306,1.017210286,0.430183833,16.64400397,0.77805411,8.393003029,1.285257654,2.324587592,1.68490108,0
117.3164127,4.841320852,2.251256117,2.35523,1.929114663,2.150497589,1.046184831,0.486485005,24.23231516,0.019189609,2.055561815,0.955854043,0.332069713,54.26203292,0.465008659,26.51863708,2.150497589,3.011415858,1.166989272,0
248.8913168,3.670618796,2.825334431,3.178534613,2.945998381,1.299180287,1.125011814,0.86593972,67.80636471,0.011351679,1.154814794,0.888879554,0.48930996,89.39187263,0.769716113,42.06652972,1.299180287,2.043694349,0.959041407,0
22.19055515,2.68559361,1.640072442,1.866682713,1.291411074,1.637484748,1.138170891,0.695072667,8.262812017,0.073908581,1.438698495,0.878602684,0.431536483,15.16771341,0.610692711,7.093779765,1.637484748,2.317301179,1.269984806,0
284.9350763,6.539262021,4.359144359,2.375776763,1.490174398,1.500125135,0.545009884,0.363309614,43.57297129,0.015298728,2.752473263,1.834829108,0.217993042,66.86503458,0.666611056,43.27806265,1.500125135,4.587302371,2.925257853,1
10.12739208,1.531075351,1.687066225,1.535192318,0.992270979,0.907537196,0.909977507,1.002688938,6.614561506,0.166584468,0.997318273,1.098928262,0.477043126,6.910497797,1.101883212,3.618104282,0.907537196,2.096246535,1.700207162,1
12.20040757,1.837015887,2.750674737,1.79273861,1.169546008,0.667841916,0.651745038,0.975897173,6.641427359,0.22545761,1.024698122,1.53434233,0.39077147,5.103265491,1.497360342,3.089620598,0.667841916,2.559040452,2.351916657,1
61.674136,2.08931331,2.096766357,1.666922463,1.249792375,0.996445456,0.794996761,0.797832692,29.51885469,0.033997499,1.253395617,1.25786676,0.398206101,30.41037409,1.003567223,16.94174315,0.996445456,2.511262377,1.67769175,0
94.77374795,2.112144459,2.57440713,2.397679731,1.707316306,0.820439174,0.931352195,1.135187378,44.87086456,0.027163716,0.880911838,1.073707675,0.511608522,37.63425423,1.218859401,19.48596135,0.820439174,1.954619513,1.507867711,0
68.65935681,2.265088894,2.449143422,2.518766175,1.749844752,0.924849428,1.028427389,1.111994404,30.31199216,0.035670935,0.899285101,0.97235839,0.534289786,28.95887805,1.081257088,14.27651698,0.924849428,1.871643491,1.399634693,0
61.76896161,2.390788678,2.700945259,2.18989258,1.581876409,0.885167395,0.810787472,0.915970784,25.83622809,0.043726577,1.091737878,1.233368835,0.430087787,23.7545541,1.129729818,13.11835567,0.885167395,2.325106713,1.707431278,0
82.9800165,2.202128097,2.711051002,1.654212288,1.230277896,0.812278373,0.610173799,0.75118804,37.68173913,0.032671131,1.331224603,1.63887732,0.336688782,31.42034013,1.231105041,19.51363273,0.812278373,2.970101923,2.203608641,0
97.01640213,1.848178655,2.041660667,1.742987909,1.102233236,0.905233022,0.853710872,0.943084103,52.49297836,0.02104449,1.060350818,1.171356758,0.44808738,48.42361044,1.104687938,26.12252599,0.905233022,2.231707576,1.852294597,0
78.37354346,2.105935493,2.115691955,1.653504573,1.148157916,0.995388524,0.781543159,0.785163923,37.21554802,0.026994976,1.273619394,1.279519869,0.391674678,38.03931794,1.00463284,21.35189246,0.995388524,2.553139263,1.842683769,0
73.16505573,2.167275359,2.615099668,1.698187611,1.118063149,0.828754401,0.649377778,0.783558768,33.75900317,0.035742468,1.27622846,1.539935665,0.35509294,28.80667685,1.206630093,17.46517823,0.828754401,2.816164125,2.338955247,0
76.09811364,1.867222682,2.614514643,1.731655579,1.136583389,0.714175645,0.662323917,0.927396392,40.75470717,0.034357154,1.078287568,1.509835255,0.386380426,29.82019494,1.400215768,17.93885935,0.714175645,2.588122823,2.300328043,0
263.256294,2.497530416,2.273834363,1.637527533,1.163731125,1.098378341,0.72016131,0.655658695,105.4066419,0.008637341,1.52518377,1.38857779,0.343198982,116.8747508,0.910433102,67.94406437,1.098378341,2.91376156,1.953917287,1
96.75278651,2.098315176,2.06093152,1.65009432,1.367258429,1.018139203,0.800654609,0.786390119,46.1097492,0.021301004,1.271633476,1.24897801,0.396729129,47.96428252,0.982183965,26.63713645,1.018139203,2.520611486,1.507345997,1
84.05666112,2.34486156,3.030172282,3.018812767,2.076988568,0.773837703,0.996251198,1.287416204,35.84717433,0.036049163,0.776749584,1.003762908,0.561636048,28.51373277,1.292260632,14.28363965,0.773837703,1.780512492,1.458925835,1
72.62025989,1.910115269,4.130588972,6.21601994,5.63478657,0.462431697,1.504874966,3.254264306,38.01878403,0.056879292,0.307289115,0.664507034,1.029022394,18.04352252,2.162481521,7.20336255,0.462431697,0.971796149,0.73305154,0
8.127970042,1.373496334,4.205955319,6.743466102,5.32356003,0.326559897,1.603313775,4.909708117,5.917722413,0.517466883,0.203678096,0.623708232,1.208625241,2.259050716,3.062225369,0.867759675,0.326559897,0.827386328,0.790064411,0
10.47321699,1.640533874,2.509437723,3.490278058,2.822618737,0.653745601,1.3908606,2.127525749,6.384029712,0.239605245,0.470029564,0.718979314,0.841036613,4.827276945,1.529647003,2.01905412,0.653745601,1.189008878,0.889045938,0
9.699176175,1.641593356,2.274818116,2.95500253,2.336049587,0.721637191,1.299006065,1.800081926,5.908391466,0.234537251,0.555530271,0.769819346,0.754517893,4.985352214,1.385737892,2.16848154,0.721637191,1.325349617,0.973788454,0
52.80162171,1.836541272,3.558377391,6.798859398,5.756407019,0.516117621,1.910662825,3.701991075,28.75057724,0.067391441,0.270124908,0.523378582,1.260233902,15.35479714,1.937542839,5.275360996,0.516117621,0.79350349,0.618159449,0
142.3040169,3.195907179,2.589460614,4.718927707,4.741384591,1.234198026,1.822359329,1.47655343,44.52695555,0.01819668,0.677252837,0.5487392,0.815665983,56.18927866,0.810242748,19.90861975,1.234198026,1.225992037,0.546140176,0
