'Elapsed time','EEG Fp1'
'seconds','uV'
0.000,-3.648
0.002,-4.236
0.004,-4.954
0.006,-5.704
0.008,-6.370
0.010,-6.847
0.012,-7.067
0.014,-7.024
0.016,-6.767
0.018,-6.391
0.020,-6.015
0.022,-5.747
0.024,-5.662
0.026,-5.775
0.028,-6.034
0.030,-6.321
0.032,-6.485
0.034,-6.366
0.036,-5.839
0.038,-4.844
0.040,-3.386
0.042,-1.531
0.044,0.619
0.046,2.955
0.048,5.385
0.050,7.828
0.052,10.216
0.054,12.484
0.056,14.556
0.058,16.352
0.060,17.798
0.062,18.848
0.064,19.476
0.066,19.709
0.068,19.596
0.070,19.211
0.072,18.637
0.074,17.943
0.076,17.186
0.078,16.395
0.080,15.580
0.082,14.731
0.084,13.833
0.086,12.871
0.088,11.847
0.090,10.788
0.092,9.736
0.094,8.753
0.096,7.909
0.098,7.267
0.100,6.866
0.102,6.726
0.104,6.830
0.106,7.134
0.108,7.563
0.110,8.023
0.112,8.399
0.114,8.578
0.116,8.457
0.118,7.967
0.120,7.091
0.122,5.873
0.124,4.413
0.126,2.847
0.128,1.330
0.130,-0.010
0.132,-1.097
0.134,-1.914
0.136,-2.498
0.138,-2.917
0.140,-3.243
0.142,-3.517
0.144,-3.737
0.146,-3.855
0.148,-3.788
0.150,-3.442
0.152,-2.732
0.154,-1.600
0.156,-0.026
0.158,1.965
0.160,4.297
0.162,6.844
0.164,9.425
0.166,11.825
0.168,13.806
0.170,15.155
0.172,15.736
0.174,15.517
0.176,14.592
0.178,13.162
0.180,11.492
0.182,9.851
0.184,8.455
0.186,7.431
0.188,6.818
0.190,6.578
0.192,6.630
0.194,6.884
0.196,7.254
0.198,7.673
0.200,8.086
0.202,8.447
0.204,8.717
0.206,8.878
0.208,8.933
0.210,8.927
0.212,8.921
0.214,8.984
0.216,9.171
0.218,9.490
0.220,9.892
0.222,10.276
0.224,10.514
0.226,10.492
0.228,10.136
0.230,9.457
0.232,8.530
0.234,7.501
0.236,6.525
0.238,5.742
0.240,5.254
0.242,5.099
0.244,5.265
0.246,5.696
0.248,6.307
0.250,6.996
0.252,7.664
0.254,8.209
0.256,8.555
0.258,8.653
0.260,8.506
0.262,8.169
0.264,7.745
0.266,7.353
0.268,7.110
0.270,7.083
0.272,7.271
0.274,7.605
0.276,7.960
0.278,8.201
0.280,8.220
0.282,7.967
0.284,7.463
0.286,6.775
0.288,5.997
0.290,5.206
0.292,4.450
0.294,3.747
0.296,3.101
0.298,2.523
0.300,2.038
0.302,1.675
